id,breach_date,name,industry,country,records_exposed,breach_type,source_url
1,2022-04-03,Credit 1 Ltd,Financial,US,1663419,Insider,https://krebsonsecurity.com/breach-0001
2,2020-05-30,Clinic Corp,Healthcare,CA,172914,Insider,https://darkreading.com/breach-0002
3,2021-12-30,Care 3 Group,Healthcare,FR,16634,Insider,https://darkreading.com/breach-0003
4,2021-04-12,Hospital Inc,Healthcare,NO,219942,System Error,https://securityweek.com/breach-0004
5,2021-10-20,Finance Inc,Financial,GB,275732,Insider,https://threatpost.com/breach-0005
6,2020-05-23,Data Inc,Education,ES,24916,System Error,https://darkreading.com/breach-0006
7,2021-12-03,Tech Ltd,Transportation,IN,479241,Insider,https://infosecurity-magazine.com/breach-0007
8,2020-11-02,Shop 2 LLC,Retail,DK,186629,Social Engineering,https://cyberscoop.com/breach-0008
9,2024-12-31,Cloud 1 Services,Education,IN,415533,Insider,https://cyberscoop.com/breach-0009
10,2020-10-22,Systems Services,Media,CA,392115,Insider,https://infosecurity-magazine.com/breach-0010
11,2020-12-13,Capital Corp,Financial,CN,239969,Hacking,https://cybernews.com/breach-0011
12,2023-01-26,Trust 2 Ltd,Financial,CN,135685,Hacking,https://infosecurity-magazine.com/breach-0012
13,2020-03-13,Data 2 Group,Manufacturing,US,50170,Insider,https://threatpost.com/breach-0013
14,2024-11-21,Cloud Group,Technology,DK,622061,Insider,https://infosecurity-magazine.com/breach-0014
15,2020-12-31,Cloud 1 Ltd,Manufacturing,FI,243494,Hacking,https://krebsonsecurity.com/breach-0015
16,2023-12-06,Market Inc,Retail,CA,35836,System Error,https://therecord.media/breach-0016
17,2022-09-29,Store International Inc,Retail,DK,49059,Hacking,https://bleepingcomputer.com/breach-0017
18,2022-03-03,Health Global Ltd,Healthcare,NL,42928,Hacking,https://bleepingcomputer.com/breach-0018
19,2020-03-03,Systems Corp,Manufacturing,CH,65718,System Error,https://krebsonsecurity.com/breach-0019
20,2020-01-02,Software Group,Technology,NL,396500,Insider,https://cybernews.com/breach-0020
21,2020-05-08,Cloud Corp,Manufacturing,DE,266544,Insider,https://therecord.media/breach-0021
22,2020-04-14,Systems Inc,Transportation,FI,566448,System Error,https://securityweek.com/breach-0022
23,2020-01-25,Tech Solutions,Media,BE,235568,Insider,https://infosecurity-magazine.com/breach-0023
24,2020-11-02,Market Services,Retail,BR,119505,System Error,https://bleepingcomputer.com/breach-0024
25,2020-05-25,Finance LLC,Financial,CH,76662,Unknown,https://darkreading.com/breach-0025
26,2020-01-05,Systems Group,Media,FI,327253,Hacking,https://infosecurity-magazine.com/breach-0026
27,2021-03-04,Market International Corp,Retail,BR,53999,Insider,https://therecord.media/breach-0027
28,2021-05-15,Tech Inc,Transportation,SE,293952,System Error,https://cybernews.com/breach-0028
29,2020-03-23,Data Systems,Technology,SE,475652,Hacking,https://infosecurity-magazine.com/breach-0029
30,2024-12-31,Cloud Ltd,Transportation,SE,367241,Unknown,https://securityweek.com/breach-0030
31,2022-07-31,Gov Solutions,Government,FR,330891,Social Engineering,https://infosecurity-magazine.com/breach-0031
32,2020-06-02,Federal Solutions,Government,IN,52129,Physical,https://infosecurity-magazine.com/breach-0032
33,2023-06-29,Care LLC,Healthcare,AU,64406,Social Engineering,https://cybernews.com/breach-0033
34,2023-10-30,Credit International Group,Financial,NL,126505,Unknown,https://securityweek.com/breach-0034
